customerid,avg_invoice_amt,total_invoice_amt,invoice_count,total_units,country
18102,1546.37,27834.61,18,6695,"United Kingdom"
15061,160.89,19950.66,124,9171,"United Kingdom"
16029,451.18,12633.12,28,7720,"United Kingdom"
16210,189.21,7000.64,37,2950,"United Kingdom"
13777,195.43,6840.16,35,3552,"United Kingdom"
17511,76.26,6711.08,88,6426,"United Kingdom"
14911,26.96,6685.79,248,2869,EIRE
13089,69.22,5953.21,86,2531,"United Kingdom"
17850,18.15,5391.21,297,1733,"United Kingdom"
13798,106.94,4170.66,39,2580,"United Kingdom"
12748,6.42,4119.24,642,2810,"United Kingdom"
12471,50.98,3874.36,76,1546,Germany
17404,147.47,3834.30,26,3954,Sweden
13093,77.46,3795.51,49,1559,"United Kingdom"
12755,3794.40,3794.40,1,1488,Japan
12433,25.76,3787.12,147,3582,Norway
17381,327.61,3603.72,11,2888,"United Kingdom"
12753,74.80,3590.59,48,2409,Japan
14733,57.79,3525.14,61,1524,"United Kingdom"
16684,135.37,3113.40,23,1348,"United Kingdom"
13408,79.77,3031.20,38,1750,"United Kingdom"
14298,30.34,2973.06,98,2930,"United Kingdom"
16013,424.71,2973.00,7,1508,"United Kingdom"
13694,62.98,2897.04,46,3860,"United Kingdom"
14680,92.75,2875.40,31,934,"United Kingdom"
15032,92.35,2770.60,30,1658,"United Kingdom"
15640,26.10,2766.69,106,1463,"United Kingdom"
17340,31.06,2671.27,86,1665,"United Kingdom"
14031,75.56,2568.95,34,989,"United Kingdom"
17841,8.62,2473.07,287,1053,"United Kingdom"
13767,42.80,2439.36,57,1028,"United Kingdom"
13081,31.98,2366.78,74,1346,"United Kingdom"
17017,32.30,2357.64,73,2008,"United Kingdom"
15856,59.30,2312.54,39,941,"United Kingdom"
15311,15.34,2285.91,149,1061,"United Kingdom"
15808,21.23,2249.85,106,774,"United Kingdom"
16873,31.73,2157.64,68,1040,"United Kingdom"
17937,119.66,2153.88,18,804,"United Kingdom"
17450,676.28,2028.84,3,786,"United Kingdom"
16754,1001.20,2002.40,2,4280,"United Kingdom"
14667,13.97,1998.10,143,1426,"United Kingdom"
12567,23.40,1942.38,83,778,France
15514,25.82,1884.71,73,803,"United Kingdom"
12370,20.53,1868.02,91,968,Austria
12370,20.53,1868.02,91,968,Cyprus
15159,38.77,1860.98,48,988,"United Kingdom"
15299,611.67,1835.01,3,2097,"United Kingdom"
17230,80.06,1761.26,22,894,"United Kingdom"
18055,21.36,1751.12,82,546,"United Kingdom"
16422,120.40,1685.60,14,2060,"United Kingdom"
15332,47.46,1661.06,35,652,Lithuania
12967,87.42,1660.90,19,438,"United Kingdom"
12472,23.30,1631.30,70,972,Germany
17677,62.18,1616.60,26,1012,"United Kingdom"
